"","species","X","Y","presence","pca_1","pca_2","pca_3","pca_4","pca_5","pca_6","PCNM1","PCNM2","PCNM3","PCNM4","PCNM5","PCNM6","PCNM7","PCNM8","PCNM9","PCNM10","PCNM11","PCNM12","PCNM13","PCNM14","PCNM15","PCNM16"
"6","clarkii",-96.167446,30.572641,1,4.55539226531982,-0.556200265884399,-0.55152440071106,0.562845826148987,1.43084454536438,-0.10615561902523,0.013716870437645,0.315027111044442,-0.0229200956069656,0.0896175725448165,-0.0517438986668537,0.00534236989671143,0.0282118850396713,0.0654009617659285,0.143646653278027,-0.185766081339605,0.14783083590607,0.123479845696504,-0.0487201407189102,-0.0311677241702596,-0.025255533665117,0.0154959119641125
"9","clarkii",-96.221047,30.562103,1,4.16033983230591,-0.939098477363586,-0.247556567192078,0.467737555503845,0.53767192363739,-0.395700871944427,0.00900442574003153,0.321868558863934,0.0113837814072353,0.0848161176661202,-0.0647483110324091,-0.0673082312798062,0.00773252623673859,0.0583643141092309,-0.0053946626743051,-0.100899670044655,0.084479040838001,0.15370169227196,0.00439399617809004,-0.129184918642666,0.0254022308954611,-0.025746076363474
"12","clarkii",-96.2977,30.597747,1,3.86440086364746,-1.24983143806458,0.0933316573500633,0.370245277881622,-0.141990840435028,-0.313571989536285,0.000483797202113622,0.328126715612274,0.0185799592832043,0.0710686165564166,-0.0312403399193595,-0.120869111698415,-0.00593303193371076,0.0192458765123701,0.0309300699175729,0.00628983103356153,-0.0522305439968116,-0.00990966311991542,0.0629646216370235,-0.00819803631740674,-0.0153797768072577,0.0386371552456634
"13","clarkii",-96.324538,30.643055,1,3.89127802848816,-0.66450822353363,-0.0390774644911289,0.908861517906189,0.602839052677155,-0.38805827498436,0.000434285451369715,0.328159850542656,0.0185902313774402,0.0710822769167691,-0.0309353949289676,-0.120930644245356,-0.00572922965549566,0.0192664906689115,0.0313812760635393,0.00646383439190306,-0.052264435265205,-0.0105094350045064,0.0628431422901237,-0.00792710724385854,-0.0155364547215386,0.0385973904229154
"19","clarkii",-96.33684,30.609363,1,3.84717226028442,-1.20315289497375,0.152918294072151,0.524476766586304,-0.243592157959938,-0.302978307008743,0.00040151036534263,0.328204483783952,0.0187367632655436,0.0710478226784373,-0.0309271643937083,-0.121285503863532,-0.00581997912777952,0.0192013659280398,0.0308795241046834,0.00693044897439982,-0.0526761205765775,-0.0106306124431116,0.0631022870765552,-0.00811816429017988,-0.0153979744292687,0.0385115061557617
"20","clarkii",-96.339195,30.642278,1,3.87464380264282,-1.03463733196259,0.0995782539248466,0.457859605550766,-0.0576921738684177,-0.278900504112244,0.000403227534215032,0.328186928385228,0.0186598842188731,0.0710685411084626,-0.0308311241469699,-0.121110438321048,-0.00570415761389486,0.0192393524326531,0.031294636035504,0.0067389211554762,-0.052467020556454,-0.0107634676442347,0.0629230318482722,-0.00792731881572096,-0.0155232569476466,0.0385437561896004
"27","clarkii",-96.520794,30.640851,1,4.67838525772095,0.0448568090796471,0.421621531248093,-0.293023973703384,1.12859332561493,-0.0915102064609528,-0.0691506713762225,0.315407618662408,0.177165043243661,-0.110326856123037,0.0244130163020389,0.196855756009905,-0.132757636066435,0.205806821733877,-0.0188199593132678,-0.019145821459519,0.106339246697831,-0.101481717698624,-0.266779902585074,0.373593457633949,0.0332883291010538,-0.0776322794069508
"32","clarkii",-96.9557769999798,31.9023069991039,0,1.08632183074951,-0.77560430765152,-1.1515097618103,-0.152311503887177,2.03597640991211,-0.325829356908798,0.0186501741949484,0.173942293779342,-0.124647465916107,-0.0137676259507456,-0.0260152339992981,0.422588908685111,0.095812404390121,-0.445739172767582,-0.196148637670583,0.0492816723598772,-0.0627363262683594,0.0270651592519119,0.0470075601554507,0.0375449747210359,0.00366492874333754,-0.0291929300111069
"33","clarkii",-96.9781499999793,32.2165349990979,0,0.787581384181976,-1.44088125228882,-1.67586386203766,-0.598637044429779,0.822360754013062,-0.175051644444466,0.0281418419529096,0.172039577883671,-0.10420759649685,-0.015650779025459,-0.0744589793371162,0.346980318512317,0.0468461034448197,-0.444386776686665,-0.193800265578643,0.00152504207542138,-0.0924562977405346,0.128005897522714,0.128726625631702,-0.00606033944553406,-0.0230042464206641,0.0204104113654513
"42","clarkii",-97.13428,29.977513,1,2.84332776069641,-0.667693078517914,0.0196508448570967,-0.190735265612602,0.135076835751534,-0.280182272195816,-0.0848132288857687,0.102976175256188,0.232786258211196,-0.0238518377409781,-0.0571213593557052,-0.269415379215715,-0.0640525370284386,-0.0207658784688777,-0.342172640433022,0.174460069019288,-0.120333996857348,0.0528633306069682,0.0919594961247564,-0.145858235132381,0.0619116695934981,-0.0482095147937785
"50","clarkii",-97.20446,30.809778,1,2.09210824966431,-0.606759965419769,-0.0625530481338501,-0.374041765928268,0.749441385269165,-0.407419234514236,-0.164512777768156,0.157200847466564,0.056152059097399,0.108883077370333,0.219302164081744,-0.0811248734987148,0.218551634994894,0.0761635708052443,0.100449636296878,-0.033872489587291,0.151117267096462,0.0136618882550034,-0.0568602408084688,-0.192971032383762,0.00693217124035681,-0.0851801804659714
"60","clarkii",-97.432992,30.578995,1,1.08624994754791,-0.100211478769779,-0.553852438926697,-0.354317307472229,0.0752609148621559,-0.224136278033257,-0.153109531092166,0.0931186623320493,0.0471557838791419,-0.0673945275662835,0.142855442183744,-0.197265243867637,-0.0433482807213124,-0.112224275844521,0.083749372069748,0.219495071360971,-0.258593100477699,-0.285315121378949,0.101254775423299,0.18163668169177,-0.0501881593303225,0.0768615025417857
"61","clarkii",-97.441786,30.165072,1,2.24487805366516,-0.408915907144547,1.25779235363007,-0.731212735176086,0.593501508235931,-0.357101440429688,-0.0580414000181076,-0.0211240521218792,0.21787819979156,-0.0128337794829551,0.0930452007027432,0.136182217393771,-0.00514358719508332,0.0227504935692565,0.0215608110713971,0.0810878427129726,-0.0498945877165931,-0.100300694630157,0.058757215623015,-0.08494326820503,-0.105568162547429,0.0258865720436505
"67","clarkii",-97.474896,30.334348,1,1.94694268703461,0.333126485347748,0.734746098518372,0.125223070383072,1.09125125408173,-0.314598083496094,-0.0669629579583344,-0.0239127029368753,0.195978586734141,-0.0583225693263388,0.0020861008457655,0.10961486154366,0.0372246316715162,0.0269683966645729,0.0493034256506541,-0.0206367874914875,-0.030019725774653,0.0354478204265094,-0.0735496175399012,-0.0113588721310426,0.0368639557990412,-0.0862470530863322
"68","clarkii",-97.476335,30.267997,1,2.00755667686462,-0.406286925077438,0.960456252098083,-0.611168503761292,0.34425300359726,-0.281191319227219,-0.0553014323457691,-0.0248360275015071,0.199460109077164,-0.0312075196461505,0.0546162101297713,0.138058572282162,-0.0482664203188607,0.0383817270230067,0.061165033833011,-0.0298355067282265,0.0105200697788567,0.0265612589297908,0.0145818161782029,-0.0146803652054451,-0.0490253997402514,0.0408352855413568
"71","clarkii",-97.492861,31.002824,1,1.02887976169586,-0.489707499742508,-0.879889309406281,-0.565710544586182,0.628298878669739,0.856334090232849,-0.173228423093945,0.0293039028896854,-0.139435099458778,0.00916946127022633,0.209377150293287,0.28130702966213,0.151371468784141,-0.00385320969080022,-0.00538756624162122,0.0981234861934293,0.0560993341748973,-0.176159630152979,-0.140626959619664,0.0650106071760846,0.0325688036091032,-0.0584179276056396
"72","clarkii",-97.521646,30.33008,1,1.78515672683716,0.39400327205658,0.782390236854553,0.499534457921982,1.33208310604095,-0.330061227083206,-0.055925488761301,-0.0252030502849618,0.198339108231633,-0.0315543540186806,0.0546261163247613,0.137830411740371,-0.0467030906030355,0.0380708209169378,0.0639020823341181,-0.0311519798690266,0.0115690219543455,0.0259003257528511,0.0143870604799537,-0.0144182477572561,-0.0493273334697659,0.04001139364663
"74","clarkii",-97.528547,30.287437,1,2.07212042808533,0.214945957064629,0.558126032352448,-0.654658317565918,0.450843513011932,-0.241690114140511,-0.055268588504862,-0.0253749499720771,0.199058008021787,-0.0312737008325456,0.0541508714607521,0.137932125098547,-0.0477776516034758,0.0384442680391319,0.0629960540762326,-0.0310870491459178,0.0105669064715785,0.0271078669244995,0.0158807629477879,-0.0152315423339854,-0.0498415031150845,0.041398456937785
