"","X","Y","presence","pca_1","pca_2","pca_3","pca_4","pca_5","pca_6","PCNM1","PCNM2","PCNM3","PCNM4","PCNM5","PCNM6","PCNM7","PCNM8","PCNM9","PCNM10","PCNM11","PCNM12","PCNM13","PCNM14"
"Simulans 419",-98.9400244599742,29.5484899791532,0,-0.472767770290375,0.43961974978447,1.43712306022644,0.859336316585541,-2.39143013954163,0.0605033785104752,0.0794907252234791,0.0192849467904423,-0.0350819635789616,-0.155728190412291,0.0869542714409151,-0.043303721108873,0.278102201044624,-0.0556356325688698,0.615825325374155,0.0303095219764494,-0.104438296974593,0.0786753359041686,-0.0315983187380941,-0.104056062388988
"Simulans 421",-99.3364989999715,30.0720029991429,0,-2.51094484329224,0.265245378017426,-0.285953640937805,0.646357536315918,-2.60681819915771,0.378003686666489,0.0827054987919097,0.021447095033003,-0.0134964531097939,-0.285636004846066,0.191169060635858,-0.0488909403387178,-0.0161140826195732,-0.0462650573088273,0.435186143194118,-0.0151073670239838,-0.362794367044783,0.243222454577173,-0.029747298159945,0.0971245205319234
"Simulans 423",-96.9651639999821,30.0153249991413,0,3.23367810249329,-0.533448994159698,-0.0795211419463158,0.0461156256496906,0.33589106798172,-0.289566844701767,0.0559365440034422,0.0345754858518861,-0.412898045814505,0.087544811651065,0.0653756044190938,-0.00222733332968388,-0.185581577548305,-0.00901132815062123,0.108682535770199,-0.0971121628808976,-0.0736593912155494,-0.415433640243045,0.00824864926194374,-0.342292837261862
"Simulans 445",-96.9781499999793,32.2165349990979,0,0.78777551651001,-1.44059634208679,-1.67606484889984,-0.59870457649231,0.822755873203278,-0.175100177526474,0.143844967053221,-0.197387005360341,0.0823756798287369,0.115889687719478,0.0375819605866221,-0.290745996625843,-0.0461679680385236,0.09397532318663,0.014931784552261,0.205249678389963,0.0153090016135789,-0.0381047887871221,0.165914422688675,-0.00482023307727368
"Simulans 446",-96.9557769999798,31.9023069991039,0,1.08659195899963,-0.774996042251587,-1.15200567245483,-0.152883023023605,2.03531455993652,-0.325799107551575,0.115585513851859,-0.0965425286012225,0.0157316840103081,-0.0370767976524584,-0.158937916482486,-0.248202930147799,-0.0396211042908743,0.540195492180465,0.0654815455043551,-0.0386823206612699,0.00543006464092323,0.0275785207535338,0.197049633854203,0.00346298506751479
"Simulans 448",-97.8081169999777,30.419134999134,0,0.991609573364258,-0.392015546560287,0.110850483179092,0.197900101542473,-0.389012515544891,-0.0744071677327156,-0.149852509245152,-0.0107349822567698,0.0522891478283114,0.0611924848470122,-0.0603000047540777,0.0260511370655175,-0.154116908164972,-0.030981168282349,0.199089770162477,-0.0420142695529901,0.162963907213261,-0.0651924278231241,-0.00561841236688092,0.482538439380942
"Simulans 240",-97.302512,32.68129,1,0.215767025947571,-1.46257710456848,-1.21996021270752,-0.646775364875793,0.706161975860596,-0.099551297724247,0.125460873250715,-0.15215595254649,0.0651684170868163,0.117415929707643,0.102736152436834,-0.238564712095312,-0.0338868851563411,-0.290691916372507,0.00277530172568624,0.362628508083286,0.0286409266128958,-0.0582719799622962,0.0821754450730989,-0.0126439202383766
"Simulans 269",-97.80662,32.253814,1,-0.824957609176636,-0.490134030580521,-1.41624546051025,-0.629020512104034,0.914340257644653,-0.151862591505051,0.154684814269739,-0.232503713807425,0.10371703032467,0.15525582293365,0.119943124111892,-0.0223090874489259,-0.0032555626050027,-0.195696723181028,-0.0497270086615404,-0.0358237532500829,-0.0114618129898102,-0.00377923917781658,-0.0781391299740087,0.00369904004970948
"Simulans 271",-97.744938,32.2384,1,-0.381446272134781,-0.271692365407944,-1.37371277809143,-1.34648144245148,1.32023310661316,0.158330336213112,0.154866701985289,-0.233034855802067,0.103990095380945,0.155620467035659,0.119764932502728,-0.0244179720449094,-0.00363663811922172,-0.194552688722874,-0.0496957156519682,-0.0331089156023966,-0.0112903835167335,-0.0046544961577164,-0.076669766827201,0.00355361067420377
"Simulans 272",-97.745,32.238333,1,-0.381446272134781,-0.271692365407944,-1.37371277809143,-1.34648144245148,1.32023310661316,0.158330336213112,0.154866722591624,-0.233034907201929,0.1039900852561,0.155620214264866,0.119764836819776,-0.0244142769655148,-0.00363607452979191,-0.194551129608477,-0.0496961561319222,-0.0331149416113133,-0.0112909248664093,-0.00465342435292074,-0.0766734783630795,0.00355397379594508
"Simulans 275",-98.20327,32.214183,1,-1.09996223449707,-1.43523955345154,-1.61178719997406,-0.184714391827583,0.276124238967896,-0.0304300431162119,0.13494051793133,-0.16882236701116,0.0662627395385952,0.0848723837375787,0.10146398490861,0.313878753539704,0.0506272329332185,-0.0706096153310127,-0.0289155543015576,-0.387714242166452,-0.0286562611296279,0.0830776451070278,0.0103552250835174,0.00719227690093573
